#population,latitude,longitude,income,errormargin
1912,32.475973,-86.486772,56500,12422
2170,32.471763,-86.472782,41250,7025
3373,32.474011,-86.459639,43088,6197
4386,32.468685,-86.443021,54503,3550
10766,32.46533,-86.423696,65027,8146
3668,32.44256,-86.477609,52639,8719
2891,32.444477,-86.447699,39427,13543
3081,32.443487,-86.522529,78587,27153
10435,32.529016,-86.480528,60019,8329
5675,32.634754,-86.504589,45208,10613
2894,32.608121,-86.728917,52563,7375
3320,32.467356,-86.696724,40577,5000
3804,31.055573,-87.774011,36750,6457
2902,30.946684,-87.685762,34073,10107
7826,30.808323,-87.840386,52212,15146
4736,30.747061,-87.696704,49068,10403
4815,30.892249,-87.777111,51583,9818
3325,30.859324,-87.772897,30659,2293
7882,30.675829,-87.89348,78548,16637
13166,30.627093,-87.844192,81938,7285
5055,30.644471,-87.881857,75417,11283
8331,30.633961,-87.89464,49531,7642
6861,30.595069,-87.898694,61215,9334
5173,30.605283,-87.763527,49470,5702
6831,30.573494,-87.613192,43309,8343
8011,30.543642,-87.743921,50515,6968
4302,30.561646,-87.693799,45991,10846
4305,30.490009,-87.703579,39411,3241
8397,30.519236,-87.857077,62946,7280
3715,30.47619,-87.848135,55259,12204
4230,30.534362,-87.891841,53807,8319
5065,30.511587,-87.904194,45738,6914
4487,30.435858,-87.874747,61466,20704
10632,30.391982,-87.759904,44860,3765
9131,30.319479,-87.678887,43034,7357
3832,30.293296,-87.540219,71555,12346
3412,30.280643,-87.636466,50079,5584
4799,30.261402,-87.71947,46944,15519
433,30.235377,-87.903638,49682,18718
5316,30.425484,-87.689711,38096,4492
10534,30.384878,-87.672515,41306,3197
6062,30.399094,-87.576322,36699,8553
4895,30.396358,-87.46355,43147,6826
0,30.328802,-87.882974,0,0
3321,31.973095,-85.162527,37719,5010
4264,31.885429,-85.46978,25465,2679
1638,31.791194,-85.559413,26875,6562
4303,31.684383,-85.588428,35625,5817
3467,31.786045,-85.225933,38370,5014
2099,31.872596,-85.198798,31834,8941
1727,31.893693,-85.166969,32450,21642
2055,31.901524,-85.157531,48831,6579
4583,31.867091,-85.153992,18106,3892
2732,33.102668,-87.179385,41765,6771
6025,33.183116,-87.120502,43876,6045
5391,32.967289,-87.013522,32385,12228
8767,32.943098,-87.18664,30379,6087
7858,33.902595,-86.4552,45136,5387
7050,33.952721,-86.465562,42753,7873
3789,33.993927,-86.551011,41425,7894
5269,34.085211,-86.398125,36286,8524
