#Claim Number,Claim Occurrence 1,Claim Occurrence 2,Borough,Date Occurred,Date Claimed,Amount,name,longitude,latitude
2013PI028836,ROOSEVELT AV,79 ST,QUEENS,9/29/2013,,,2013PI028836,-73.886718,40.747351
2013PI030072,751 GERARD AV,,BRONX,11/12/2013,6/4/2014,11000,2013PI030072,-73.926631,40.82521
2013PI030133,275 E 201 ST,,BRONX,8/27/2013,,,2013PI030133,-73.884051,40.871942
2013PI030408,JORALEMON ST & COURT ST,,BROOKLYN,9/21/2013,,,2013PI030408,-73.990669,40.692505
2013PI030414,BQE & QUEENS BL,,QUEENS,9/12/2013,,,2013PI030414,-73.898894,40.740821
2013PI029252,168-30 127 AV,APT 5F,QUEENS,7/17/2013,,,2013PI029252,-73.772542,40.675705
2013PI029303,2607 DECATUR AV,,BRONX,8/29/2013,,,2013PI029303,-73.890541,40.863306
2013PI021687,2729 MILES AV,,BRONX,5/18/2013,,,2013PI021687,-73.82305,40.817014
2013PI022511,1535 BWAY,,MANHATTAN,6/10/2013,,,2013PI022511,-73.986288,40.758695
2013PI022812,WILLOW AV & LANGERE PL,,STATEN ISLAND,6/14/2013,,,2013PI022812,-74.071887,40.618039
2013PI024095,149 ST,RIVER AV,BRONX,6/15/2013,,,2013PI024095,-73.930315,40.819325
2013PI024841,BLAKE AV & E 98 ST,,BROOKLYN,7/22/2013,,,2013PI024841,-73.921658,40.663851
2013PI018605,3125 PARK AV,APT 10C,BRONX,6/13/2013,,,2013PI018605,-74.018804,40.642659
2013PI018607,3125 PARK AV,APT 10C,BRONX,6/13/2013,,,2013PI018607,-74.018804,40.642659
2013PI018654,238 SCHENECTADY AV,,BROOKLYN,5/7/2013,,,2013PI018654,-73.933981,40.671152
2013PI019045,187-14 PINEVILLE LN,,QUEENS,5/12/2013,,,2013PI019045,-73.754568,40.681309
2013PI019470,GRAND CO & E 166 ST,,BRONX,4/27/2013,,,2013PI019470,-73.919863,40.831955
2013PI020313,830 WASHINGTON AV,,BRONX,6/3/2013,,,2013PI020313,-73.911307,40.82257
2013PI021770,500 W 144 ST,,MANHATTAN,5/16/2013,4/10/2014,9000,2013PI021770,-73.948578,40.824533
2013PI031109,311 AVE U,,BROOKLYN,9/14/2013,,,2013PI031109,-73.972566,40.5973
2013PI031112,2219 W 6 ST,,BROOKLYN,9/7/2013,,,2013PI031112,-73.976658,40.593908
2013PI031113,84-21 CHAPIN PY,,QUEENS,11/15/2013,,,2013PI031113,-73.799475,40.71432
2013PI031116,E 161 ST,MELROSE AV,BRONX,9/13/2013,,,2013PI031116,-73.913841,40.824197
2014PI000016,386 E 161 ST,,BRONX,12/20/2013,,,2014PI000016,-73.914499,40.824159
2014PI000593,611 BLAKE AV,,BROOKLYN,2/10/2013,,,2014PI000593,-73.896431,40.668017
2013PI024897,390 GEORGIA AV,APT #2C,BROOKLYN,7/31/2013,,,2013PI024897,-73.897503,40.666783
2013PI025641,14 ST  & BWAY,,MANHATTAN,9/2/2013,,,2013PI025641,-73.990757,40.734846
2013PI025817,2800 WHITE PLAINS RD,,BRONX,5/15/2013,,,2013PI025817,-73.866951,40.866961
2013PI025818,411 3 AV,,MANHATTAN,9/14/2013,,,2013PI025818,-73.980193,40.742374
2013PI025824,1280 LEXINGTON AV,,MANHATTAN,9/17/2013,,,2013PI025824,-73.955715,40.78003
2013PI022996,LENOX AV,146 ST,MANHATTAN,7/9/2013,,,2013PI022996,-73.935744,40.821115
2013PI022999,678 HANCOCK ST,,BROOKLYN,8/14/2013,,,2013PI022999,-73.928365,40.684798
2013PI023605,548 W 164 ST,,MANHATTAN,8/16/2013,,,2013PI023605,-73.940646,40.837748
2013PI018678,ATLANTIC AV,SHEFFIELD AV,BROOKLYN,4/11/2013,,,2013PI018678,-73.897846,40.675682
2013PI019579,199 ST,GRAND CONCOURSE,BRONX,6/18/2013,,,2013PI019579,-73.888687,40.871502
2013PI019788,179 BRABANT ST,,STATEN ISLAND,4/25/2013,,,2013PI019788,-74.163476,40.632677
2013PI019820,169 E 92 ST,,BROOKLYN,2/2/2013,,,2013PI019820,-73.926177,40.661005
2013PI020072,120 SCHERMERHORN ST,,BROOKLYN,6/28/2013,,,2013PI020072,-73.988964,40.689719
2013PI020075,1710 CARROLL ST,,BROOKLYN,5/17/2013,,,2013PI020075,-73.92995,40.665781
2014PI001243,418 E 23 ST,,BROOKLYN,10/22/2013,,,2014PI001243,-73.956421,40.639913
2014PI000741,1005 WALTON AV,,BRONX,10/4/2013,,,2014PI000741,-73.922524,40.830406
2014PI001093,858 E 164 ST,3RD FL,BRONX,12/13/2013,,,2014PI001093,-73.899585,40.823375
2014PI001397,3450 KINGSBRIDGE AV,,BRONX,12/24/2013,,,2014PI001397,-73.902333,40.883383
2013PI020625,204-04 42 AV,,QUEENS,5/12/2013,,,2013PI020625,-73.780064,40.760399
2013PI025763,2720 DECATUR AV,,BRONX,7/27/2013,,,2013PI025763,-73.887974,40.865255
2014PI003991,MARBLE HILL AV & 225 ST,,BRONX,11/22/2013,,,2014PI003991,-73.911089,40.87467
2014PI001702,1011 E 216 ST,,BRONX,10/9/2013,,,2014PI001702,-73.855145,40.878928
2014PI001708,E 161 ST,MELROSE AV,BRONX,12/20/2013,,,2014PI001708,-73.913841,40.824197
2014PI002239,1186 WASHINGTON AV,,BRONX,10/22/2013,,,2014PI002239,-73.906989,40.83046
2014PI002617,5 AV & 46 ST,,MANHATTAN,12/31/2013,,,2014PI002617,-73.979027,40.75604
2014PI002622,LINDEN BL,170 ST,QUEENS,11/29/2013,,,2014PI002622,-73.77996,40.691379
2013PI029148,BWAY,HALSEY ST,BROOKLYN,8/17/2013,,,2013PI029148,-73.91529,40.685654
2013PI026697,74 W 119 ST,,MANHATTAN,10/7/2013,,,2013PI026697,-73.947619,40.803437
2013PI026704,97 E 165 ST,,BRONX,10/11/2013,,,2013PI026704,-73.921796,40.831673
2013PI030671,2041 PACIFIC ST,APT 3C,BROOKLYN,9/22/2013,,,2013PI030671,-73.920042,40.676267
2013PI030679,940 FOX ST,APT 5H,BRONX,9/6/2013,,,2013PI030679,-73.893367,40.821248
2014PI001203,LINDEN BL,PENNSYLVANIA AV,BROOKLYN,11/26/2013,,,2014PI001203,-73.890624,40.658586
2014PI002509,1420 GRAND CO,,BRONX,1/15/2013,,,2014PI002509,-73.91268,40.839284
2014PI008849,737 MELROSE AVE,,BRONX,12/22/2013,,,2014PI008849,-73.916104,40.820699
2014PI002670,SUTPHIN BL,ROCKAWAY BL,QUEENS,12/19/2013,,,2014PI002670,-73.786871,40.672832
2014PI004903,BAILEY AV & W 193 ST,,BRONX,11/21/2013,,,2014PI004903,-73.906853,40.870791
2014PI004919,123-07 LIBERTY AV,,QUEENS,12/21/2013,,,2014PI004919,-73.820928,40.687514
2014PI006309,34-20 LINDEN PL,,QUEENS,11/30/2013,,,2014PI006309,-73.831684,40.765767
2014PI006399,11 E 183 ST,,BRONX,12/12/2013,,,2014PI006399,-73.903281,40.858733
2013PI031266,380 E 173 ST,,BRONX,11/17/2013,,,2013PI031266,-73.903961,40.842968
2013PI031729,465 E 10 ST,,MANHATTAN,9/21/2013,,,2013PI031729,-73.973617,40.725275
2013PI032351,395 BROOK AV,,BRONX,10/18/2013,,,2013PI032351,-73.917561,40.811261
2013PI032353,TRINITY AV & 160 ST,161 ST,BRONX,10/4/2013,,,2013PI032353,-73.906815,40.820952
2013PI032362,1806 CROTONA AV,,BRONX,11/22/2013,,,2013PI032362,-73.893148,40.842901
2013PI027171,291 HOOPER ST,,BROOKLYN,8/22/2013,,,2013PI027171,-73.954112,40.707302
2013PI027753,HASSOCK ST,REDFERN AV,QUEENS,7/31/2013,,,2013PI027753,-73.752269,40.608067
2013PI028202,307 E 101 ST,,MANHATTAN,9/5/2013,6/18/2014,3500,2013PI028202,-73.943151,40.786922
2013PI029749,687 8 AV,,MANHATTAN,8/6/2013,,,2013PI029749,-73.98944,40.758292
2014PI013295,1265 COLLEGE AV,,BRONX,11/27/2013,,,2014PI013295,-73.912603,40.834576
2013PI032830,2027 LEXINGTON AV,,MANHATTAN,11/19/2013,,,2013PI032830,-73.937885,40.803446
2013PI031261,2612 BWAY,APT 415,MANHATTAN,10/30/2013,,,2013PI031261,-73.970144,40.796157
2013PI031751,1160 FOREST AV,,BRONX,11/26/2013,,,2013PI031751,-73.901648,40.828507
2013PI031756,250 TOMPKINS AV,,BROOKLYN,11/13/2013,,,2013PI031756,-73.944989,40.690269
2013PI031923,3539 BROADWAY,,MANHATTAN,9/11/2013,,,2013PI031923,-73.951027,40.826368
2013PI032062,JEROME AV,E 167 ST,BRONX,9/18/2013,,,2013PI032062,-73.922373,40.836118
2013PI032070,55 HOLLAND AV,,STATEN ISLAND,9/10/2013,,,2013PI032070,-74.170309,40.639134
2013PI032075,995 E 173 ST,,BRONX,9/13/2013,,,2013PI032075,-73.885413,40.834731
2014PI016598,53 TROUTMAN ST,,BROOKLYN,9/10/2013,,,2014PI016598,-73.932147,40.698566
2014PI003796,1410 GRAND CO,,BRONX,11/13/2013,,,2014PI003796,-73.913034,40.838987
2014PI003919,39-07 PRINCE ST,,QUEENS,11/6/2013,,,2014PI003919,-73.83196,40.759454
2013PI032419,2851 HEATH AV,,BRONX,10/16/2013,,,2013PI032419,-73.904046,40.874269
2013PI032680,100 CENTRE ST,,MANHATTAN,9/20/2013,,,2013PI032680,-74.000795,40.716078
2014PI000078,2120 RYER AV,,BRONX,10/20/2013,,,2014PI000078,-73.900121,40.85396
