#tract,income,errormargin,population,latitude,longitude
1001020100,56500,12422,1912,32.475973,-86.486772
1001020200,41250,7025,2170,32.471763,-86.472782
1001020300,43088,6197,3373,32.474011,-86.459639
1001020400,54503,3550,4386,32.468685,-86.443021
1001020500,65027,8146,10766,32.46533,-86.423696
1001020600,52639,8719,3668,32.44256,-86.477609
1001020700,39427,13543,2891,32.444477,-86.447699
1001020801,78587,27153,3081,32.443487,-86.522529
1001020802,60019,8329,10435,32.529016,-86.480528
1001020900,45208,10613,5675,32.634754,-86.504589
1001021000,52563,7375,2894,32.608121,-86.728917
1001021100,40577,5000,3320,32.467356,-86.696724
1003010100,36750,6457,3804,31.055573,-87.774011
1003010200,34073,10107,2902,30.946684,-87.685762
1003010300,52212,15146,7826,30.808323,-87.840386
1003010400,49068,10403,4736,30.747061,-87.696704
1003010500,51583,9818,4815,30.892249,-87.777111
1003010600,30659,2293,3325,30.859324,-87.772897
1003010701,78548,16637,7882,30.675829,-87.89348
1003010703,81938,7285,13166,30.627093,-87.844192
1003010704,75417,11283,5055,30.644471,-87.881857
1003010705,49531,7642,8331,30.633961,-87.89464
1003010800,61215,9334,6861,30.595069,-87.898694
1003010903,49470,5702,5173,30.605283,-87.763527
1003010904,43309,8343,6831,30.573494,-87.613192
1003010905,50515,6968,8011,30.543642,-87.743921
1003010906,45991,10846,4302,30.561646,-87.693799
1003011000,39411,3241,4305,30.490009,-87.703579
1003011101,62946,7280,8397,30.519236,-87.857077
1003011102,55259,12204,3715,30.47619,-87.848135
1003011201,53807,8319,4230,30.534362,-87.891841
1003011202,45738,6914,5065,30.511587,-87.904194
1003011300,61466,20704,4487,30.435858,-87.874747
1003011401,44860,3765,10632,30.391982,-87.759904
1003011403,43034,7357,9131,30.319479,-87.678887
1003011405,71555,12346,3832,30.293296,-87.540219
1003011406,50079,5584,3412,30.280643,-87.636466
1003011407,46944,15519,4799,30.261402,-87.71947
1003011408,49682,18718,433,30.235377,-87.903638
1003011501,38096,4492,5316,30.425484,-87.689711
1003011502,41306,3197,10534,30.384878,-87.672515
1003011601,36699,8553,6062,30.399094,-87.576322
1003011602,43147,6826,4895,30.396358,-87.46355
1005950100,37719,5010,3321,31.973095,-85.162527
1005950200,25465,2679,4264,31.885429,-85.46978
1005950300,26875,6562,1638,31.791194,-85.559413
1005950400,35625,5817,4303,31.684383,-85.588428
1005950500,38370,5014,3467,31.786045,-85.225933
1005950600,31834,8941,2099,31.872596,-85.198798
1005950700,32450,21642,1727,31.893693,-85.166969
1005950800,48831,6579,2055,31.901524,-85.157531
1005950900,18106,3892,4583,31.867091,-85.153992
1007010001,41765,6771,2732,33.102668,-87.179385
1007010002,43876,6045,6025,33.183116,-87.120502
1007010003,32385,12228,5391,32.967289,-87.013522
1007010004,30379,6087,8767,32.943098,-87.18664
1009050101,45136,5387,7858,33.902595,-86.4552
1009050102,42753,7873,7050,33.952721,-86.465562
1009050200,41425,7894,3789,33.993927,-86.551011
1009050300,36286,8524,5269,34.085211,-86.398125
1009050400,36364,7037,4451,34.165386,-86.494918
1009050500,42724,5169,7329,34.033609,-86.62909
1009050601,56368,6570,3922,33.864323,-86.890944
1009050602,62511,9436,8923,33.887976,-86.779335
1009050700,46220,7693,8731,33.84612,-86.640721
1011952100,31991,10170,1434,32.093127,-85.527085
1011952200,28325,8234,7102,32.140414,-85.704199
1011952500,44347,4972,2378,32.058378,-85.79717
1013952700,29453,6492,2439,31.870012,-86.608101
1013952800,47841,5472,1394,31.83668,-86.630574
1013952900,33265,9763,2180,31.838059,-86.655732
1013953000,35750,9344,1469,31.855815,-86.776219
1013953100,20296,4484,3023,31.812831,-86.629681
1013953200,35000,8429,4327,31.801204,-86.554559
1013953300,38980,8200,1774,31.714643,-86.721785
1013953400,23549,2021,2931,31.62703,-86.75912
1013953500,24250,7903,1410,31.568271,-86.672824
1015000200,34914,4463,3104,33.666928,-85.817462
1015000300,19933,1801,2951,33.676742,-85.832171
1015000400,26989,7085,2812,33.676301,-85.856305
1015000500,15556,8380,1814,33.662885,-85.843565
1015000600,19615,6173,2191,33.641593,-85.836033
1015000700,26199,2860,2715,33.719465,-85.814386
1015000800,34550,10229,1379,33.648795,-85.824029
1015000900,57036,4740,3362,33.646823,-85.802387
1015001000,44545,6245,5792,33.630911,-85.786379
1015001100,52486,12964,6565,33.599437,-85.801298
1015001201,36034,8847,3482,33.611663,-85.844841
1015001202,52357,11277,4318,33.594757,-85.883955
1015001300,25530,3718,2211,33.644827,-85.871703
1015001400,35525,5267,3731,33.65811,-85.895469
1015001500,40510,4990,5198,33.608939,-85.954252
1015001600,29471,5626,3791,33.701937,-85.848458
1015001700,63079,8640,6329,33.723763,-85.842003
1015001800,37173,4976,6919,33.758351,-85.808425
1015002000,51110,5625,7335,33.691589,-85.70267
1015002101,12361,2868,3992,33.824312,-85.770903
1015002102,55129,3031,3411,33.824309,-85.751814
1015002103,40777,7387,6801,33.7985,-85.762496
1015002200,32798,8975,3652,33.910168,-85.60746
1015002300,34048,6787,3843,33.934092,-85.632725
1015002400,62028,9562,4518,33.861434,-85.787394
1015002501,44320,6559,7069,33.776379,-85.892641
1015002502,40714,12664,4661,33.878885,-85.888848
1015002600,47146,4336,4615,33.778613,-86.030642
1017953800,33233,4607,3619,33.042568,-85.368517
1017953900,34487,4470,2900,32.888106,-85.208671
1017954000,34500,6358,6669,32.879446,-85.439946
1017954200,39332,7392,3257,32.844064,-85.246649
1017954300,30462,6901,4708,32.79142,-85.219691
1017954400,21595,6291,995,32.846593,-85.202059
1017954500,23449,4433,3804,32.859486,-85.201411
1017954600,33523,5696,3411,32.835666,-85.175074
1017954700,33460,6811,4852,32.780899,-85.17399
1019955701,36361,9810,3332,34.2254,-85.559713
1019955702,31327,2359,3872,34.333707,-85.573688
1019955800,38173,7854,5561,34.209134,-85.761692
1019955900,43209,12946,4235,34.082177,-85.665703
1019956000,40305,9779,4017,34.164186,-85.662789
1019956100,37861,9757,4972,34.0899,-85.512579
1021060101,39564,8773,5219,32.823048,-86.632699
1021060102,37564,7478,6303,32.86022,-86.647036
1021060200,39583,14138,2807,32.856167,-86.563229
1021060300,50610,9082,3808,32.964592,-86.617
1021060401,54525,5512,5466,32.927237,-86.724862
1021060402,38531,4494,8776,32.999144,-86.794196
1021060500,40745,8273,2902,32.774685,-86.874586
1021060600,38103,10549,3261,32.78419,-86.737575
1021060700,35758,10857,5101,32.757253,-86.552043
1023956700,25559,10525,3184,32.224848,-88.231547
1023956800,32554,6594,4423,32.084228,-88.212449
1023956900,42763,7534,3879,31.921932,-88.323586
1023957000,26891,8740,2373,31.765659,-88.306798
1025957500,37794,10163,1760,31.793785,-87.720847
1025957601,30096,10518,998,31.922095,-87.882812
1025957602,36806,8642,5515,31.904508,-87.738503
1025957700,30000,15999,1329,31.80458,-88.064694
1025957800,23966,3247,5488,31.664211,-87.748074
1025957901,47386,17397,3493,31.580471,-87.919049
1025957902,33684,16159,4230,31.520607,-87.886666
1025958001,19583,10881,1289,31.542715,-87.797788
1025958002,29844,16343,1731,31.441264,-87.772891
1027958900,40614,3547,5324,33.350544,-85.738552
1027959000,26516,6516,3224,33.284337,-85.84714
1027959100,36921,4373,2904,33.200186,-85.777916
1027959200,31801,6933,2480,33.173751,-86.009797
1029959500,34375,4412,2684,33.793105,-85.433941
1029959600,32396,2735,4202,33.651223,-85.570646
1029959700,38359,3894,3419,33.558877,-85.607065
1029959800,42692,7935,4667,33.568458,-85.377677
1031010100,37950,4527,2057,31.555926,-86.032109
1031010200,38221,5637,1841,31.560525,-85.88813
1031010300,44115,6379,4258,31.396056,-85.903094
1031010400,36514,4089,2152,31.398845,-86.030225
1031010500,31800,2446,4558,31.422089,-86.099287
1031010600,34079,8589,1561,31.263754,-86.160337
1031010700,38750,6590,2286,31.267832,-86.002082
1031010800,55547,8112,2840,31.242741,-85.857334
1031010900,35990,3712,2117,31.30065,-85.862494
1031011000,47520,15521,3526,31.320275,-85.880744
1031011100,38716,4658,2026,31.326636,-85.851701
1031011201,85223,9534,8036,31.353268,-85.842317
1031011202,50142,7580,8530,31.328237,-85.811893
1031011300,20557,4733,4160,31.307577,-85.834333
1033020100,40070,4163,3467,34.767585,-87.682056
1033020200,36477,5754,1957,34.76634,-87.698792
1033020300,21123,4980,2032,34.750754,-87.69922
1033020400,66250,15002,1530,34.73918,-87.724382
1033020500,39167,8955,5221,34.727826,-87.717555
1033020600,31652,4316,4128,34.727825,-87.688795
1033020701,56550,12914,6103,34.725208,-87.627549
1033020703,52872,9031,5175,34.747097,-87.643749
1033020704,40808,9168,4321,34.746096,-87.666238
1033020801,44074,8445,4487,34.774589,-87.511374
1033020802,32316,4725,3766,34.64951,-87.55036
1033020901,40446,8018,4327,34.621584,-87.68912
1033020902,40611,5887,3972,34.676977,-87.792979
1033021000,34672,2167,3942,34.744365,-87.989717
1035960200,41417,7314,1808,31.566229,-87.009381
1035960300,33555,15456,1731,31.376225,-87.220729
1035960400,23821,6471,3251,31.345217,-87.045989
1035960500,24091,10713,1771,31.449638,-86.970927
1035960600,24813,5071,4667,31.416676,-86.883468
1037961000,26658,5949,3956,33.017405,-86.050486
1037961100,41000,6268,3927,33.052684,-86.261848
1037961200,37134,7688,3656,32.848615,-86.153482
1039961600,43697,8297,4133,31.414036,-86.417599
1039961700,38224,10041,4032,31.378662,-86.599177
1039961800,26995,14882,3129,31.286223,-86.497596
1039961900,41959,10114,2127,31.285125,-86.463932
1039962000,33125,7831,3917,31.326487,-86.470913
1039962100,22857,3418,2011,31.315247,-86.498117
1039962300,48607,12159,3279,31.295007,-86.379889
1039962400,45938,10550,3144,31.31432,-86.239905
1039962500,25722,7148,1524,31.288794,-86.264969
1039962600,17321,12223,1517,31.273172,-86.27291
1039962700,41875,22532,1686,31.268578,-86.245538
1039962800,36548,10134,1736,31.221156,-86.280662
1039962900,36552,17264,1846,31.15871,-86.552449
1039963000,25500,7492,3684,31.020099,-86.339433
1041963400,38419,7289,1925,31.895674,-86.26353
1041963500,42279,14056,1903,31.948367,-86.37222
1041963600,35345,9983,3180,31.740069,-86.340612
1041963700,38259,10325,3809,31.716549,-86.245139
1041963800,33044,5452,1681,31.561522,-86.335322
1041963900,45357,13671,1408,31.556352,-86.238145
1043964100,42528,8383,5582,34.269506,-86.564397
1043964200,40795,4462,7373,34.23685,-86.732455
1043964300,45352,4391,5001,34.267002,-86.840888
1043964400,36373,3936,4112,34.262996,-86.935298
1043964500,40154,7231,4180,34.221922,-87.048311
1043964600,40023,6595,4007,34.16379,-86.96505
1043964700,39185,5660,4643,34.146367,-86.888114
1043964800,30169,4491,4289,34.183523,-86.859428
1043964900,39360,3429,6683,34.195742,-86.833643
1043965000,36640,4799,6071,34.159246,-86.839288
1043965100,34192,6392,3578,34.118882,-86.798832
1043965200,51190,5003,2309,34.138816,-86.735732
1043965300,39650,6735,4539,34.166121,-86.636945
1043965401,31058,8634,3310,34.066509,-86.792292
1043965402,35000,9206,4189,34.038902,-86.759682
1043965500,45026,10973,5631,34.026335,-86.927781
1043965600,43409,9959,2257,34.06522,-87.045198
1043965700,42906,6115,2652,33.956045,-87.025536
1045020000,51081,5229,4642,31.348216,-85.719445
1045020100,46357,5906,3823,31.556754,-85.663793
1045020200,53060,7861,2067,31.476968,-85.470143
1045020300,39063,12190,2396,31.420739,-85.574212
1045020400,56815,11924,2542,31.482744,-85.643103
1045020500,27727,8503,2049,31.457127,-85.627788
1045020700,26644,5860,3518,31.450199,-85.642929
1045020801,43188,9733,3361,31.396734,-85.67031
1045020802,54419,9015,4351,31.427096,-85.649092
1045021101,51111,11227,4893,31.318687,-85.772433
1045021102,46016,8028,4387,31.305843,-85.706342
1045021200,45833,13448,2696,31.262603,-85.730229
1045021300,45417,7363,4034,31.301051,-85.566276
1045021400,36959,5309,5492,31.3208,-85.474808
1047956100,36579,9648,6753,32.484486,-86.958775
1047956201,28958,11060,2550,32.410532,-87.100481
1047956202,44196,5409,2327,32.503077,-87.057068
1047956300,33813,10255,3791,32.438792,-87.033836
1047956400,13821,2071,3150,32.426781,-87.01789
1047956500,12112,2443,3811,32.414184,-87.008389
1047956600,22156,5219,3811,32.416951,-87.029135
1047956701,68206,16652,1855,32.405417,-87.069612
1047956702,38000,20232,1602,32.40077,-87.047689
1047956800,23684,9261,2789,32.423219,-87.04994
1047956900,17127,5650,2804,32.316226,-87.229859
1047957000,18304,9570,1274,32.201948,-87.168843
1047957100,30625,10282,1345,32.284332,-86.985988
1047957200,28036,7005,1754,32.375519,-87.019495
1047957300,29000,8599,4204,32.354478,-86.969699
1049960100,37883,4586,5937,34.734617,-85.641989
1049960200,34556,10959,3530,34.618308,-85.72589
1049960300,35855,4581,6908,34.526436,-85.859108
1049960400,52023,5000,6483,34.504586,-85.798426
1049960500,39645,4115,5373,34.435851,-85.953289
1049960600,35164,6539,6393,34.34815,-86.011642
1049960700,38263,4839,8628,34.262089,-86.046299
1049960800,27841,7257,4498,34.268667,-85.858428
1049960900,32446,9377,3809,34.39954,-85.766654
1049961000,36118,7457,3914,34.394213,-85.701978
1049961100,25669,3368,3258,34.455487,-85.730922
1049961200,57093,10995,2107,34.508986,-85.687182
