state,stateansi,county,countyansi,ADM2,latitude,longitude
AL,01,Autauga,001,county,32.532160,-86.646469
AL,01,Baldwin,003,county,30.659218,-87.746067
AL,01,Barbour,005,county,31.870253,-85.405104
AL,01,Bibb,007,county,33.015893,-87.127148
AL,01,Blount,009,county,33.977358,-86.566440
AL,01,Bullock,011,county,32.101759,-85.717261
AL,01,Butler,013,county,31.751667,-86.681969
AL,01,Calhoun,015,county,33.771706,-85.822513
AL,01,Chambers,017,county,32.915504,-85.394032
AL,01,Cherokee,019,county,34.069515,-85.654242
AL,01,Chilton,021,county,32.854051,-86.726607
AL,01,Choctaw,023,county,31.990997,-88.248908
AL,01,Clarke,025,county,31.685521,-87.818624
AL,01,Clay,027,county,33.270400,-85.863525
AL,01,Cleburne,029,county,33.671964,-85.516126
AL,01,Coffee,031,county,31.402258,-85.989602
AL,01,Colbert,033,county,34.703112,-87.801457
AL,01,Conecuh,035,county,31.430926,-86.988722
AL,01,Coosa,037,county,32.931445,-86.243482
AL,01,Covington,039,county,31.243987,-86.448721
AL,01,Crenshaw,041,county,31.732826,-86.319222
AL,01,Cullman,043,county,34.131923,-86.869267
AL,01,Dale,045,county,31.430654,-85.609476
AL,01,Dallas,047,county,32.333540,-87.114356
AL,01,DeKalb,049,county,34.460929,-85.803992
AL,01,Elmore,051,county,32.597229,-86.142735
AL,01,Escambia,053,county,31.122287,-87.168410
AL,01,Etowah,055,county,34.047641,-86.034263
AL,01,Fayette,057,county,33.716157,-87.764292
AL,01,Franklin,059,county,34.441989,-87.842814
AL,01,Geneva,061,county,31.092393,-85.821011
AL,01,Greene,063,county,32.844497,-87.964200
AL,01,Hale,065,county,32.752796,-87.623061
AL,01,Henry,067,county,31.516978,-85.239971
AL,01,Houston,069,county,31.158193,-85.296398
AL,01,Jackson,071,county,34.764114,-85.980056
AL,01,Jefferson,073,county,33.553444,-86.896536
AL,01,Lamar,075,county,33.787085,-88.087431
AL,01,Lauderdale,077,county,34.904122,-87.650997
AL,01,Lawrence,079,county,34.529776,-87.321865
AL,01,Lee,081,county,32.604064,-85.353048
AL,01,Limestone,083,county,34.810239,-86.981399
AL,01,Lowndes,085,county,32.147888,-86.650586
AL,01,Macon,087,county,32.387027,-85.692887
AL,01,Madison,089,county,34.764238,-86.551080
AL,01,Marengo,091,county,32.247591,-87.791091
AL,01,Marion,093,county,34.138219,-87.881551
AL,01,Marshall,095,county,34.309564,-86.321668
AL,01,Mobile,097,county,30.684572,-88.196568
AL,01,Monroe,099,county,31.580332,-87.383266
AL,01,Montgomery,101,county,32.203650,-86.203831
AL,01,Morgan,103,county,34.454484,-86.846402
AL,01,Perry,105,county,32.639005,-87.293827
AL,01,Pickens,107,county,33.296793,-88.096863
AL,01,Pike,109,county,31.798651,-85.941604
AL,01,Randolph,111,county,33.296475,-85.464068
AL,01,Russell,113,county,32.289811,-85.186980
AL,01,St. Clair,115,county,33.712963,-86.315663
AL,01,Shelby,117,county,33.263043,-86.678089
AL,01,Sumter,119,county,32.597481,-88.200057
AL,01,Talladega,121,county,33.369277,-86.175805
AL,01,Tallapoosa,123,county,32.863369,-85.799553
AL,01,Tuscaloosa,125,county,33.290248,-87.522759
AL,01,Walker,127,county,33.791558,-87.301094
AL,01,Washington,129,county,31.405217,-88.197564
AL,01,Wilcox,131,county,31.990085,-87.304907
AL,01,Winston,133,county,34.154607,-87.365290
AK,02,Aleutians East,013,borough,55.245044,-161.997477
AK,02,Aleutians West,016,census designated place,51.959447,178.338813
AK,02,Anchorage,020,municipality,61.174250,-149.284329
AK,02,Bethel,050,census designated place,60.929141,-160.152625
AK,02,Bristol Bay,060,borough,58.730158,-156.996632
AK,02,Denali,068,borough,63.681106,-150.026544
AK,02,Dillingham,070,census designated place,59.824816,-158.602233
AK,02,Fairbanks North Star,090,borough,64.688206,-146.589255
AK,02,Haines,100,borough,59.098771,-135.576936
AK,02,Hoonah-Angoon,105,census designated place,58.076434,-135.185100
AK,02,Juneau,110,city,58.372910,-134.178445
AK,02,Kenai Peninsula,122,borough,60.366668,-152.322283
AK,02,Ketchikan Gateway,130,borough,55.449938,-131.106685
AK,02,Kodiak Island,150,borough,57.502015,-153.563512
AK,02,Lake and Peninsula,164,borough,58.205065,-156.705188
AK,02,Matanuska-Susitna,170,borough,62.182250,-149.407787
AK,02,Nome,180,census designated place,64.783686,-164.188912
AK,02,North Slope,185,borough,69.449343,-153.472830
AK,02,Northwest Arctic,188,borough,67.005066,-160.021086
AK,02,Petersburg,195,census designated place,56.639612,-133.527996
AK,02,Prince of Wales-Hyder,198,census designated place,55.415683,-132.875734
AK,02,Sitka,220,city,57.193204,-135.367396
AK,02,Skagway,230,municipality,59.575097,-135.335418
AK,02,Southeast Fairbanks,240,census designated place,63.864997,-143.218628
AK,02,Valdez-Cordova,261,census designated place,61.349840,-145.023141
AK,02,Wade Hampton,270,census designated place,62.283060,-163.190903
AK,02,Wrangell,275,city,56.180779,-132.026788
AK,02,Yakutat,282,city,60.007062,-140.148108
AK,02,Yukon-Koyukuk,290,census designated place,65.375716,-151.577878
AZ,04,Apache,001,county,35.385084,-109.490172
AZ,04,Cochise,003,county,31.840129,-109.775163
AZ,04,Coconino,005,county,35.829692,-111.773728
AZ,04,Gila,007,county,33.789618,-110.811870
AZ,04,Graham,009,county,32.931828,-109.878310
AZ,04,Greenlee,011,county,33.238872,-109.242323
AZ,04,La Paz,012,county,33.727610,-114.038806
AZ,04,Maricopa,013,county,33.346541,-112.495534
AZ,04,Mohave,015,county,35.717705,-113.749689
AZ,04,Navajo,017,county,35.390785,-110.321025
AZ,04,Pima,019,county,32.128523,-111.783027
AZ,04,Pinal,021,county,32.919038,-111.367005
AZ,04,Santa Cruz,023,county,31.525733,-110.845228
AZ,04,Yavapai,025,county,34.631212,-112.577385
AZ,04,Yuma,027,county,32.773942,-113.910905
AR,05,Arkansas,001,county,34.289570,-91.376547
AR,05,Ashley,003,county,33.190835,-91.772267
